A,B,C,D
1,23,0.44,17.15
2,35,0.81,25.53
3,26,0.7,19.17
4,21,0.7,15.85
5,10,0.97,7.91
6,6,1.08,5.34
7,12,1.14,9.39
8,8,1.15,6.77
9,22,1.28,16.5
10,3,1.55,3.13
11,9,1.4,7.4
12,18,1.77,13.55
13,33,1.74,24.09
14,2,1.97,2.41
15,21,2.17,15.82
16,17,2.26,12.82
17,35,2.08,25.51
18,6,2.19,5.28
19,36,2.51,26.3
20,10,2.64,7.89
21,25,2.43,18.42
22,7,2.64,6.03
23,6,2.67,5.41
24,17,2.72,12.93
25,22,3.03,16.42
26,7,3.22,5.82
27,3,3.28,3.05
28,8,3.44,6.66
29,28,3.42,20.51
30,11,3.62,8.97
31,12,3.58,9.64
32,8,3.67,6.6
33,26,3.84,19.22
34,19,4.03,14.28
35,34,3.96,24.95
36,1,4.05,1.8
37,37,4.1,26.9
38,36,4.29,26.08
39,6,4.19,5.33
40,9,4.32,7.37
41,0,4.47,1.19
42,37,4.65,26.89
43,1,4.93,1.87
44,7,4.75,5.94
45,17,5.11,13.04
46,5,5.14,4.41
47,19,5.22,14.26
48,31,5.2,22.87
49,23,5.37,17.28
50,8,5.56,6.83
51,20,5.67,15.24
52,3,5.66,3.03
53,6,5.69,5.09
54,35,5.87,25.46
55,4,6.06,3.69
56,30,6.21,22.08
57,34,6.02,24.72
58,34,6.35,24.84
59,23,6.29,17.25
60,5,6.47,4.54
61,32,6.69,23.65
62,28,6.83,20.55
63,34,6.59,24.86
64,35,6.97,25.75
65,35,7.11,25.56
66,28,7.11,20.59
67,8,7.07,6.64
68,4,7.11,3.71
69,13,7.36,10.04
70,0,7.52,1.06
71,8,7.46,6.57
72,37,7.85,27.14
73,4,7.81,3.98
74,23,7.78,17.17
75,12,7.83,9.32
76,30,8.13,22.07
77,34,8.24,24.97
78,2,8.3,2.52
79,37,8.45,27.13
80,4,8.56,3.79
81,22,8.66,16.47
82,23,8.74,17.06
83,20,8.8,15.19
84,10,8.73,7.89
85,21,8.88,15.96
86,25,8.88,18.54
87,4,9.24,3.7
88,25,9.36,18.54
89,2,9.36,2.32
90,37,9.5,27.02
91,0,9.74,1
92,19,9.67,14.48
93,28,9.89,20.61
94,11,9.69,8.68
95,13,9.92,10.18
96,3,10.27,3.19
97,19,10.34,14.57
98,13,10.21,10.26
99,30,10.33,21.94
100,26,10.32,19.28
